,Id,label,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
0,"0__Immediate_Grief,_Shock,_and_Emotion",1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,"My favorite moment of the weekend was spending quality time with my family on Saturday. We had a nice picnic in the park and enjoyed each other's company. It was a simple but meaningful time of connection and relaxation together.

I wouldn't say I had a major breakthrough, but I did have an insightful moment during a conversation with my sister. She shared some of the challenges she's been facing lately, and it gave me a greater appreciation for her strength and resilience. It also reminded me of the importance of being supportive and present for the people we love.","The TAPS Seminar was a valuable and meaningful experience for me. I appreciate the opportunity to connect with other survivors who understand the unique challenges of grieving the loss of a loved one in military service. The workshops and group activities provided helpful tools and coping strategies.

I was especially impacted by the connections I made with other surviving children. Hearing their stories and experiences helped me feel less alone in my grief journey. However, I do think there could be more programming and resources tailored specifically to the needs of young survivors. We face distinct challenges in processing grief and loss at a young age.

Overall, I'm grateful for the support and sense of community TAPS provides. The Seminar was a powerful experience that has given me hope and resilience as I continue to navigate life"
1,0__Navigating_Family_Relationships,2,1,2,2,2,2,2,0,0,1,2,1,2,2,1,2,2,2,2,2,2,"Mi momento favorito del fin de semana fue durante una actividad grupal en la cual nos animaban a expresar nuestras emociones sin temor a ser juzgados. Aunque esto generó algo de tensión dentro de mi unidad familiar, me sentí escuchado y comprendido por los demás participantes en el seminario. Esta experiencia me enseñó la importancia de ser más paciente y aceptante de los distintos procesos de duelo que cada miembro de la familia pueda tener. Me di cuenta de que nuestro camino hacia la sanación colectiva es esencial para poder seguir adelante. Conocer a otras familias que están pasando por situaciones similares me ha dado esper","Mi experiencia en el seminario TAPS fue sumamente enriquecedora y transformadora. Además del momento favorito que compartí, hubo muchas otras instances valiosas que me permitieron conectar con mi dolor y grief, al mismo tiempo que encontraba comprensión y apoyo en los demás participantes. El ambiente seguro y compasivo que se creó durante el fin de semana me permitió abrirme y compartir mis sentimientos más profundos, algo que a menudo me resulta difícil hacer en mi vida cotidiana. 

La variedad de actividades y sesiones informativas también me proporcionaron herramientas prácticas y estrategias para manejar mi duelo y seguir con mi vida de"
2,0__Learning_to_Process_Grief,3,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"Free Text Response 1: My favorite moment of the weekend was during the group sharing session where we, as surviving children, had the opportunity to connect with others who truly understood what we were going through. It was a profound experience, as we were all able to open up and share our emotions sincerely. This was incredibly comforting and reassuring.

I also had a moment of clarity during the children's activity. The counselor helped us understand that our emotions are valid and normal, and that it's okay to seek support and love from our family, friends, and the TAPS community. This has given me the courage to speak more openly about my feelings, not just with my parents, but also with my siblings. I truly appreciate the guidance and recognition of","Free Text Response 2: The TAPS Seminar was a truly transformative experience for me and my family. I am incredibly grateful for the opportunity to connect with other surviving families and learn from their stories and experiences. The expert guidance provided throughout the weekend has been invaluable in helping us navigate our grief journey and find healthy ways to cope with our loss.

One of the most impactful moments for me was during the group discussions, where I realized that I am not alone in my struggles and that it is okay to be vulnerable and share my feelings with others who understand. This insight has been crucial in my healing process and has given me the strength to continue moving forward.

I also want to express my gratitude for the children's program, which provided a safe and nurturing"
3,0__Moments_That_Matter,4,3,2,2,2,2,2,0,1,2,2,1,2,2,1,2,2,2,2,2,2,"Mi momento favorito del fin de semana fue la conexión significativa que hice con otros padres en el grupo de apoyo. Escuchar sus historias y compartir las nuestras creó un ambiente de comprensión y apoyo mutuo. Un momento revelador para mí fue darme cuenta de que, aunque extrañamos profundamente a nuestro ser querido, podemos encontrar consuelo y fortaleza en la comunidad de TAPS y en el apoyo de otros que han experimentado pérdidas similares. Esta comprensión compartida nos ha ayudado a sentirnos menos solos en nuestro viaje de duelo y nos ha dado esperanza para el futuro.",El seminario TAPS fue una experiencia transformadora para mí y mi familia. El cuidado y la compasión de los organizadores y voluntarios crearon un entorno seguro y acogedor para explorar nuestro dolor y encontrar consuelo. Las sesiones informativas y las actividades de grupo nos proporcionaron herramientas valiosas para navegar el viaje del duelo y sentirnos menos solos en el proceso. Agradezco profundamente la oportunidad de conectarme con otras familias que han experimentado pérdidas similares y crear amistades duraderas que nos apoyarán en los momentos difíciles. El seminario TAPS ha dejado un impacto duradero en
4,"0__Feeling_Immersed,_Connected_&_Seen",5,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"My favorite moment of the weekend was the opportunity to connect with other families who have experienced similar losses. The shared experiences allowed us to provide each other with comfort and understanding, creating a sense of community that I had not felt before. This experience was a breakthrough moment for me as it strengthened my connection with the surviving family unit and allowed me to see the importance of seeking and offering support from others who truly understand our unique grief journey. I am grateful for the tools and resources provided by TAPS and the opportunity to learn from grief and trauma experts, which have empowered me to start finding new purpose and goals in my life.","I would like to express my heartfelt gratitude to TAPS for organizing such a meaningful and transformative seminar. The entire experience exceeded my expectations, and I feel truly blessed to have had the opportunity to be a part of this supportive and understanding community. The workshops, discussions, and resources provided have equipped me with valuable tools and strategies to navigate my grief journey and find hope for the future.

I deeply appreciate the dedication and compassion of the TAPS staff, volunteers, and experts who have made this seminar possible. Their unwavering support and genuine concern for our well-being have created a safe and nurturing environment where we can openly share our experiences and learn from one another.

As I leave this seminar, I feel a renewed sense of strength, purpose, and connection"
5,0__New_Growth_&_Purpose,6,1,2,2,2,2,2,0,0,2,2,1,2,2,1,3,3,3,2,2,2,"The panel discussion on coping with loss was my favorite moment of the weekend. It was a turning point for me, realizing the power of community support and understanding that I am not alone in this journey. I had an incredible breakthrough moment during the art therapy session, where I found solace in expressing my emotions through painting. It allowed me to confront my grief in a way that was comforting and healing. I believe this experience has prepared me to give back to the TAPS community by offering support and guidance to those who may be struggling with their own journey. I am eager to participate in mentorship programs, charity drives, and events, and contribute to making a difference in the lives of others.","The TAPS seminar was a transformative experience that provided a safe and supportive space for me to process my grief and connect with others who understand the unique pain of losing a loved one. The various sessions, workshops, and activities offered diverse perspectives and coping strategies that resonated with me on a deep level. I particularly appreciated the opportunity to engage in meaningful conversations with fellow survivors, as it reinforced the sense of community and solidarity that TAPS fosters.

I was impressed by the dedication and compassion of the TAPS staff and volunteers, who created a warm and welcoming environment throughout the seminar. Their guidance and support made it easier for me to open up and share my story, knowing that I was surrounded by people who genuinely cared about my well-being.

The seminar"
6,"1__Immediate_Grief,_Shock,_and_Emotion",1,1,3,2,2,2,2,0,0,2,2,1,2,1,2,2,2,1,1,2,1,"My favorite moment of the weekend was the group art activity where we expressed our feelings through painting and drawing. It was cathartic to share my emotions creatively alongside others who are also grieving. During the art session, I had a breakthrough moment when I realized I don't have to go through this difficult time alone. I met an adult survivor who shared their journey of finding new purpose in life, and it inspired me. I'm grateful for the connections and resources TAPS provided, as they've given me hope for the future.","The TAPS seminar was an incredibly meaningful and transformative experience for me. Being surrounded by others who understand the profound loss I'm going through provided a sense of comfort and solidarity that I hadn't felt before. The group activities, especially the story sharing session, allowed me to open up and realize that seeking support is not a sign of weakness, but a step towards healing.

The workshop on coping with isolation and managing responsibilities alone was particularly impactful. It gave me practical tools and a renewed sense of purpose during this challenging time. I left the seminar feeling more empowered and connected, with a network of support that I know I can rely on as I continue my grief journey.

I am deeply grateful for the dedication and compassion of the TAPS staff and volunteers."
7,1__Navigating_Family_Relationships,2,1,2,2,2,2,2,0,0,1,2,1,2,2,1,2,2,2,2,2,2,"My favorite moment of the weekend occurred during a group activity where we were encouraged to express our emotions without judgment. This moment allowed me to feel personally heard and understood by others at the seminar. It was powerful to break the ice with other families and share our unique grief journeys together. Although it generated some tension within my own family unit, this experience taught me to be more patient and accepting of our individual paths to healing. I realized that our collective healing process is essential for us to move forward. Connecting with other families has given me hope and inspiration to support each other on this difficult journey.","The TAPS Seminar provided a valuable opportunity to connect with others who have experienced a similar loss and to gain a better understanding of the grief process. The supportive environment allowed for open and honest sharing of emotions, which was both cathartic and educational. While the seminar was helpful in many ways, I believe there is room for improvement in addressing the unique challenges faced by families navigating grief together. Incorporating more workshops or support groups focused on enhancing communication and understanding within family units could greatly enhance the overall impact of the seminar. Additionally, providing resources and strategies for managing the tension that may arise within families during the healing process would be beneficial. Overall, I am grateful for the opportunity to attend the TAPS Seminar and appreciate the dedication of the organization in supporting those"
8,1__Learning_to_Process_Grief,3,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,1,2,2,"The most impactful moment for me during the TAPS seminar was participating in the group art therapy session. As we created paintings to express our emotions and experiences, it allowed for a profound sense of connection with others who truly understand the journey of grief. Sharing our artwork and the stories behind them with the group was incredibly cathartic and empowering. 

A breakthrough for me occurred during one of the sessions led by a grief expert. I realized the importance of normalizing my emotions and allowing myself to be vulnerable with others who have faced similar losses. This insight has been crucial in accepting my grief and learning to cope with it in a healthy way. The support and guidance provided by TAPS has been invaluable in helping me navigate this difficult path, and I am forever","The TAPS Seminar provided a transformative experience for me and my family. The opportunity to connect with others who have experienced a similar loss was invaluable in our healing journey. The sessions were well-organized, and the facilitators created a safe and supportive environment for us to openly share our emotions and stories.

I particularly appreciated the variety of activities offered, including the educational sessions, group discussions, and creative outlets like art therapy. These diverse approaches allowed us to process our grief in different ways and find what resonated with us individually.

The sense of community and belonging that TAPS fostered was truly remarkable. Knowing that we are not alone in our grief has been a source of great comfort and strength. The connections we made with other surviving family members will undoubtedly"
9,1__Moments_That_Matter,4,1,2,2,2,2,2,0,0,2,2,1,2,2,1,2,2,2,2,2,2,"My favorite moment of the weekend was spending quality time with my family, having deep conversations and enjoying each other's company. I didn't have any major breakthroughs, but the time together was very meaningful and recharged my batteries.","The TAPS Seminar was a transformative experience for our family. The combination of group activities, sharing circles, and breakout sessions provided a safe and supportive space for us to grieve, heal, and connect with others who understand our journey. The seminar volunteers were incredibly compassionate and knowledgeable, creating an environment of trust and openness.

One aspect that stood out was the diversity of the participants - people from all walks of life, backgrounds, and experiences, united by the common bond of loss. Hearing their stories and insights broadened our perspective and helped us realize we are not alone in this journey.

The seminar also provided us with practical tools and resources to navigate our grief, both individually and as a family. We learned coping strategies, communication techniques, and ways to"
